"","DeviceName","Brand","technology","gprs","edge","announced","status","dimensions","weight","sim","type","size","resolution","display_c","card_slot","alert_types","loudspeaker_","wlan","bluetooth","gps","radio","usb","messaging","browser","java","features_c","battery_c","stand_by","talk_time","colors","sar_us","sar_eu","sensors","cpu","internal_memory","ram_memory","os","body_c","primary_","video","secondary","speed","network_c","chipset","features","music_play","protection","gpu","multitouch","loudspeaker","audio_quality","nfc","camera","display","performance","_2g_bands","_3_5mm_jack_","_3g_bands","_4g_bands","sound_c","camera_c","infrared_port","build","price","sar","phonebook","call_records","clock","alarm","games","memory_c","keyboard"
"1","Apple iPhone 6","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2014, September","Available. Released 2014, September","138.1 x 67 x 6.9 mm (5.44 x 2.64 x 0.27 in)","129 g (4.55 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.7 inches (~65.8% screen-to-body ratio)","750 x 1334 pixels (~326 ppi pixel density)","- Display Zoom","No","Vibration, proprietary ringtones","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.0, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - Siri natural language commands and dictation
  - iCloud cloud service
  - iCloud Keychain
  - TV-out
  - Maps
  - Audio/video player/editor
  - Organizer
  - Document viewer/editor
  - Photo viewer/editor
  - Voice memo/dial/command
  - Predictive text input","Non-removable Li-Po 1810 mAh battery (6.9 Wh)","Up to 250 h (3G)","Up to 14 h (3G)","Space Gray, Silver, Gold","  1.18 W/kg (head) &nbsp; &nbsp; 1.18 W/kg (body) &nbsp; &nbsp; ","  0.98 W/kg (head) &nbsp; &nbsp; 0.97 W/kg (body) &nbsp; &nbsp; ","Fingerprint, accelerometer, gyro, proximity, compass, barometer","Dual-core 1.4 GHz Typhoon (ARM v8-based)","16/64/128 GB"," 1 GB  ","iOS 8, upgradable to iOS 9.2","- Apple Pay (Visa, MasterCard, AMEX certified)","8 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","1080p@60fps, 720p@240fps","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500) - A1586","Apple A8","1/3"" sensor size, 1.5 µm pixel size, touch focus, geo-tagging, face/smile detection, HDR (photo/panorama)","Up to 50 h","Ion-strengthened glass, oleophobic coating","PowerVR GX6450 (quad-core graphics)","Yes","  Voice 66dB / Noise 65dB / Ring 72dB","  Noise -94dB / Crosstalk -73.4dB","Yes (Apple Pay only)","  Photo / Video","  Contrast ratio: 1213 (nominal), 3.838 (sunlight)","  Basemark OS II: 1252 / Basemark X: 15841","GSM 850 / 900 / 1800 / 1900 - A1549 (GSM), A1549 (CDMA), A1586","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1549 (GSM), A1549 (CDMA), A1586","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700) - A1549 GSM, A1549 CDMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Apple iPhone 6 Plus","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2014, September","Available. Released 2014, September","158.1 x 77.8 x 7.1 mm (6.22 x 3.06 x 0.28 in)","172 g (6.07 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches (~67.8% screen-to-body ratio)","1080 x 1920 pixels (~401 ppi pixel density)","- Display Zoom","No","Vibration, proprietary ringtones","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.0, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - Siri natural language commands and dictation
  - iCloud cloud service
  - iCloud Keychain
  - TV-out
  - Maps
  - iBooks PDF reader
  - Audio/video player/editor
  - Organizer
  - Document viewer/editor
  - Photo viewer/editor
  - Voice memo/dial/command
  - Predictive text input","Non-removable Li-Po 2915 mAh battery (11.1 Wh)","Up to 384 h (3G)","Up to 24 h (3G)","Space Gray, Silver, Gold","  1.19 W/kg (head) &nbsp; &nbsp; 1.19 W/kg (body) &nbsp; &nbsp; ","  0.99 W/kg (head) &nbsp; &nbsp; 0.91 W/kg (body) &nbsp; &nbsp; ","Fingerprint, accelerometer, gyro, proximity, compass, barometer","Dual-core 1.4 GHz Typhoon (ARM v8-based)","16/64/128 GB"," 1 GB  ","iOS 8, upgradable to iOS 9.2","- Apple Pay (Visa, MasterCard, AMEX certified)","8 MP, f/2.2, 29mm, OIS, phase detection autofocus, dual-LED (dual tone) flash","1080p@60fps, 720p@240fps","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500) - A1524","Apple A8","1/3"" sensor size, 1.5 µm pixel size, touch focus, geo-tagging, face/smile detection, HDR (photo/panorama)","Up to 80 h","Ion-strengthened glass, oleophobic coating","PowerVR GX6450 (quad-core graphics)","Yes","  Voice 67dB / Noise 65dB / Ring 66dB","  Noise -94dB / Crosstalk -72dB","Yes (Apple Pay only)","  Photo / Video","  Contrast ratio: 1361 (nominal), 3.023 (sunlight)","  Basemark OS II: 1222","GSM 850 / 900 / 1800 / 1900 - A1522 (GSM), A1522 (CDMA), A1524","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 - A1522 (GSM), A1522 (CDMA), A1524","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700) - A1522 GSM, A1522 CDMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Apple iPhone 6s","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2015, September","Available. Released 2015, September","138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)","143 g (5.04 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.7 inches (~65.6% screen-to-body ratio)","750 x 1334 pixels (~326 ppi pixel density)","- Force Touch display
  - Display Zoom","No","Vibration, proprietary ringtones","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - Siri natural language commands and dictation
  - iCloud cloud service
  - iCloud Keychain
  - TV-out
  - Maps
  - Organizer
  - Document editor
  - Photo/video editor","Non-removable Li-Po 1715 mAh battery (6.9 Wh)","Up to 240 h (3G)","Up to 14 h (3G)","Space Gray, Silver, Gold, Rose Gold","  1.14 W/kg (head) &nbsp; &nbsp; 1.14 W/kg (body) &nbsp; &nbsp; ","  0.87 W/kg (head) &nbsp; &nbsp; 0.98 W/kg (body) &nbsp; &nbsp; ","Fingerprint, accelerometer, gyro, proximity, compass, barometer","Dual-core 1.84 GHz Twister","16/64/128 GB"," 2 GB ","iOS 9, upgradable to iOS 9.2","- Apple Pay (Visa, MasterCard, AMEX certified)","12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","2160p@30fps, 1080p@60fps,1080p@120fps, 720p@240fps","5 MP, f/2.2, 31mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps, EV-DO Rev.A 3.1 Mbps","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - A1687","Apple A9","1/3"" sensor size, 1.22 µm pixel size, geo-tagging, simultaneous 4K video and 8MP image recording, touch focus, face/smile detection, HDR (photo/panorama)","Up to 50 h","Ion-strengthened glass, oleophobic coating","PowerVR GT7600 (six-core graphics)","Yes","  Voice 66dB / Noise 64dB / Ring 65dB","  Noise -93.8dB / Crosstalk -73.2dB","Yes (Apple Pay only)","  Photo / Video","  Contrast ratio: 1481 (nominal),  3.783 (sunlight)","  Basemark OS II 2.0: 2195","GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 ","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700) - A1688",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Apple iPhone 6s Plus","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2015, September","Available. Released 2015, September","158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in)","192 g (6.77 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches (~67.7% screen-to-body ratio)","1080 x 1920 pixels (~401 ppi pixel density)","- Force Touch display
  - Display Zoom","No","Vibration, proprietary ringtones","Yes","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - Siri natural language commands and dictation
  - iCloud cloud service
  - iCloud Keychain
  - TV-out
  - Maps
  - Organizer
  - Document editor
  - Photo/video editor","Non-removable Li-Po 2750 mAh battery (10.45 Wh)","Up to 384 h (3G)","Up to 24 h (3G)","Space Gray, Silver, Gold, Rose Gold","  1.12 W/kg (head) &nbsp; &nbsp; 1.14 W/kg (body) &nbsp; &nbsp; ","  0.93 W/kg (head) &nbsp; &nbsp; 0.98 W/kg (body) &nbsp; &nbsp; ","Fingerprint, accelerometer, gyro, proximity, compass, barometer","Dual-core 1.84 GHz Twister","16/64/128 GB"," 2 GB ","iOS 9, upgradable to iOS 9.2","- Apple Pay (Visa, MasterCard, AMEX certified)","12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash","2160p@30fps, 1080p@60fps,1080p@120fps, 720p@240fps","5 MP, f/2.2, 31mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps, EV-DO Rev.A 3.1 Mbps","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - A1634","Apple A9","1/3"" sensor size, 1.22 µm pixel size, geo-tagging, simultaneous 4K video and 8MP image recording, touch focus, face/smile detection, HDR (photo/panorama)","Up to 80 h","Ion-strengthened glass, oleophobic coating","PowerVR GT7600 (six-core graphics)","Yes","  Voice 65dB / Noise 65dB / Ring 64dB","  Noise -93.4dB / Crosstalk -71.1dB","Yes (Apple Pay only)","  Photo / Video","  Contrast ratio: 1382:1 (nominal), 3.530 (sunlight)","  Basemark OS II 2.0: 2261","GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 ","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 30(2300) - A1633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Apple iPhone 7 Plus","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2016, September","Available. Released 2016, September","158.2 x 77.9 x 7.3 mm (6.23 x 3.07 x 0.29 in)","188 g (6.63 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches (~67.7% screen-to-body ratio)","1080 x 1920 pixels (~401 ppi pixel density)","- Wide color gamut display
  - 3D Touch display & home button
  - Display Zoom","No","Vibration, proprietary ringtones","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Siri natural language commands and dictation
  - iCloud cloud service
  - MP3/WAV/AAX+/AIFF/Apple Lossless player
  - MP4/H.264 player
  - Audio/video/photo editor
  - Document editor","Non-removable Li-Ion 2900 mAh battery (11.1 Wh)","Up to 384 h (3G)","Up to 21 h (3G)","Jet Black, Black, Silver, Gold, Rose Gold, Red","  1.19 W/kg (head) &nbsp; &nbsp; 1.19 W/kg (body) &nbsp; &nbsp; ","  1.24 W/kg (head) &nbsp; &nbsp; 1.00 W/kg (body) &nbsp; &nbsp; ","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr)","32/128/256 GB"," 3 GB ","iOS 10.0.1, upgradable to iOS 10.3","- IP67 certified - dust and water resistant
  - Water resistant up to 1 meter and 30 minutes
  - Apple Pay (Visa, MasterCard, AMEX certified)","Dual 12 MP, (28mm, f/1.8, OIS & 56mm, f/2.8), phase detection autofocus, 2x optical zoom, quad-LED (dual tone) flash, check quality","2160p@30fps, 1080p@30/60/120fps, 720p@240fps, check quality","7 MP, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","CDMA2000 1xEV-DO & TD-SCDMA - A1661","Apple A10 Fusion","1/3"" sensor size @ 28mm, 1/3.6"" sensor size @ 56mm, geo-tagging, simultaneous 4K video and 8MP image recording, touch focus, face/smile detection, HDR (photo/panorama)","Up to 60 h","Ion-strengthened glass, oleophobic coating","PowerVR Series7XT Plus (six-core graphics)","Yes","  Voice 68dB / Noise 72dB / Ring 72dB    ","  Noise -93.1dB / Crosstalk -80.5dB","Yes (Apple Pay only)","  Photo / Video","  Contrast ratio: 1398:1 (nominal), 3.588 (sunlight)","  Basemark OS II 2.0: 3796","GSM 850 / 900 / 1800 / 1900 - A1661, A1784","No","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1661, A1784","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - A1661, A1784","- Active noise cancellation with dedicated mic
  - Lightning to 3.5 mm headphone jack adapter incl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Apple iPad Air 2","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2014, October","Available. Released 2014, October","240 x 169.5 x 6.1 mm (9.45 x 6.67 x 0.24 in)","437 g (Wi-Fi) / 444 g (3G/LTE) (15.41 oz)","Nano-SIM/ Apple SIM (US & UK)","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches (~71.6% screen-to-body ratio)","1536 x 2048 pixels (~264 ppi pixel density)",NA,"No","N/A","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.0, A2DP, EDR","Yes, with A-GPS, GLONASS (3G/LTE model only)","No","v2.0, reversible connector","iMessage, Email, Push Email, IM","HTML5 (Safari)","No","- Active noise cancellation with dedicated mic
  - Siri natural language commands and dictation
  - iCloud cloud service
  - iCloud Keychain
  - TV-out
  - Maps
  - Audio/video player/editor
  - Organizer
  - Document viewer/editor
  - Photo viewer/editor
  - Voice memo/dial/command
  - Predictive text input","Non-removable Li-Po battery (27.3 Wh)",NA,"Up to 10 h (multimedia)","Space Gray, Silver, Gold",NA,NA,"Fingerprint, accelerometer, gyro, compass, barometer","Triple-core 1.5 GHz Typhoon","16/64/128 GB"," 2 GB ","iOS 8.1, upgradable to iOS 9.2",NA,"8 MP, f/2.4, 31mm, autofocus","1080p@30fps, 720p@120fps, HDR, stereo sound rec.","1.2 MP, f/2.2, 31mm, 720p@30fps, face detection, HDR, FaceTime over Wi-Fi or Cellular","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps, EV-DO Rev.A 3.1 Mbps","CDMA2000 1xEV-DO ","Apple A8X","1.12µm pixel size, geo-tagging, touch focus, face/smile detection, HDR (photo/panorama)",NA,"Scratch-resistant glass, oleophobic coating","PowerVR GXA6850 (octa-core graphics)","Yes","  Voice 75dB / Noise 70dB / Ring 78dB","  Noise -93.9dB / Crosstalk -83.9dB",NA,"  Photo / Video","  Contrast ratio: 1048 (nominal)","  Basemark OS II: 1937 / Basemark X: 29753","GSM 850 / 900 / 1800 / 1900 ","Yes","HSDPA 850 / 900 / 1700 / 1900 / 2100 ","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 28(700), 29(700), 38(2600), 39(1900), 40(2300), 41(2500) - A1567",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Apple iPhone 7","Apple","GSM / CDMA / HSPA / EVDO / LTE","Yes","Yes","2016, September","Available. Released 2016, September","138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in)","138 g (4.87 oz)","Nano-SIM","LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.7 inches (~65.6% screen-to-body ratio)","750 x 1334 pixels (~326 ppi pixel density)","- Wide color gamut display
  - 3D Touch display & home button
  - Display Zoom","No","Vibration, proprietary ringtones","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","v4.2, A2DP, LE","Yes, with A-GPS, GLONASS","No","v2.0, reversible connector","iMessage, SMS (threaded view), MMS, Email, Push Email","HTML5 (Safari)","No","- Siri natural language commands and dictation
  - iCloud cloud service
  - MP3/WAV/AAX+/AIFF/Apple Lossless player
  - MP4/H.264 player
  - Audio/video/photo editor
  - Document editor","Non-removable Li-Ion 1960 mAh battery (7.45 Wh)",NA,"Up to 14 h (3G)","Jet Black, Black, Silver, Gold, Rose Gold, Red","  1.19 W/kg (head) &nbsp; &nbsp; 1.19 W/kg (body) &nbsp; &nbsp; ","  1.38 W/kg (head) &nbsp; &nbsp; 1.34 W/kg (body) &nbsp; &nbsp; ","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer","Quad-core 2.34 GHz (2x Hurricane + 2x Zephyr)","32/128/256 GB"," 2 GB ","iOS 10.0.1, upgradable to iOS 10.3","- IP67 certified - dust and water resistant
  - Water resistant up to 1 meter and 30 minutes
  - Apple Pay (Visa, MasterCard, AMEX certified)","12 MP, f/1.8, 28mm, phase detection autofocus, OIS, quad-LED (dual tone) flash, check quality","2160p@30fps, 1080p@30/60/120fps, 720p@240fps, check quality","7 MP, f/2.2, 32mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama","HSPA 42.2/5.76 Mbps, LTE-A (3CA) Cat9 450/50 Mbps, EV-DO Rev.A 3.1 Mbps","CDMA2000 1xEV-DO & TD-SCDMA - A1660","Apple A10 Fusion","1/3"" sensor size, geo-tagging, simultaneous 4K video and 8MP image recording, touch focus, face/smile detection, HDR (photo/panorama)","Up to 40 h","Ion-strengthened glass, oleophobic coating","PowerVR Series7XT Plus (six-core graphics)","Yes","  Voice 67dB / Noise 73dB / Ring 75dB    ","  Noise -92.4dB / Crosstalk -80.9dB","Yes (Apple Pay only)","  Photo / Video","  Contrast ratio: 1603:1 (nominal), 3.964 (sunlight)","  Basemark OS II 2.0: 3416","GSM 850 / 900 / 1800 / 1900 - A1660, A1778","No","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - A1660, A1778","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 8(900), 12(700), 13(700), 17(700), 18(800), 19(800), 20(800), 25(1900), 26(850), 27(800), 28(700), 29(700), 30(2300), 38(2600), 39(1900), 40(2300), 41(2500) - A1660, A1778","- Active noise cancellation with dedicated mic
  - Lightning to 3.5 mm headphone jack adapter incl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","Amazon Kindle Fire HD","Amazon","No cellular connectivity","No","No","2012, September","Available. Released 2012, September","193 x 137 x 10.3 mm (7.60 x 5.39 x 0.41 in)","395 g (13.93 oz)","No","IPS LCD capacitive touchscreen, 16M colors","7.0 inches (~53.7% screen-to-body ratio)","800 x 1280 pixels (~216 ppi pixel density)",NA,"No","Vibration; MP3, WAV ringtones","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n, dual-band","Yes","No","No","v2.0","Email, Push Email, IM","HTML5 (Amazon Silk)","No","- HDMI port
  - MP4/VP8/H.263 player
  - MP3/WAV/AAC/OGG/E-AC-3 player
  - Organizer
  - Document viewer
  - Photo viewer/editor
  - Free cloud storage for all Amazon content
  - Text-to-Speech english-language content reader
  - Predictive text input","Non-removable Li-Ion battery",NA,"Up to 11 h","Black",NA,NA,"Accelerometer, gyro","Dual-core 1.2 GHz Cortex-A9","16/32 GB"," 1 GB ","Android OS, v4.0 (customized)",NA,"1.3 MP","No","No",NA,NA,"TI OMAP 4460",NA,NA,NA,"PowerVR SGX540","Yes, up to 10 fingers",NA,NA,NA,NA,NA,NA," N/A","Yes",NA,NA,"- Dolby Digital Plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Amazon Kindle Fire HD 8.9","Amazon","No cellular connectivity","No","No","2012, September","Available. Released 2012, October","240 x 164 x 8.8 mm (9.45 x 6.46 x 0.35 in)","567 g (1.25 lb)","No","IPS LCD capacitive touchscreen, 16M colors","8.9 inches (~58.4% screen-to-body ratio)","1920 x 1200 pixels (~254 ppi pixel density)",NA,"No","Vibration; MP3, WAV ringtones","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n, dual-band","Yes","No","No","v2.0","Email, Push Email, IM","HTML5 (Amazon Silk)","No","- HDMI port
  - MP4/VP8/H.263 player
  - MP3/WAV/AAC/OGG/E-AC-3 player
  - Organizer
  - Document viewer
  - Photo viewer/editor
  - Free cloud storage for all Amazon content
  - Text-to-Speech english-language content reader
  - Predictive text input","Non-removable Li-Ion battery",NA,NA,"Black",NA,NA,"Accelerometer, gyro","Dual-core 1.5 GHz Cortex-A9","16/32 GB"," 1 GB ","Android OS, v4.0 (customized)",NA,"1.3 MP","No","No",NA,NA,"TI OMAP 4470",NA,NA,NA,"PowerVR SGX544","Yes, up to 10 fingers",NA,NA,NA,NA,NA,NA," N/A","Yes",NA,NA,"- Dolby Digital Plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Amazon Kindle Fire HD 8.9 LTE","Amazon","GSM / HSPA / LTE","Yes","Yes","2012, September","Available. Released 2012, October","240 x 164 x 8.8 mm (9.45 x 6.46 x 0.35 in)","575 g (1.27 lb)","Mini-SIM","IPS LCD capacitive touchscreen, 16M colors","8.9 inches (~58.4% screen-to-body ratio)","1920 x 1200 pixels (~254 ppi pixel density)",NA,"No","Vibration; MP3, WAV ringtones","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n, dual-band","Yes","Yes, with A-GPS","No","v2.0","Email, Push Email, IM","HTML5 (Amazon Silk)","No","- HDMI port
  - MP4/VP8/H.263 player
  - MP3/WAV/AAC/OGG/E-AC-3 player
  - Organizer
  - Document viewer
  - Photo viewer/editor
  - Free cloud storage for all Amazon content
  - Text-to-Speech english-language content reader
  - Predictive text input","Non-removable Li-Ion battery",NA,NA,"Black",NA,NA,"Accelerometer, gyro, compass","Dual-core 1.5 GHz Cortex-A9","32/64 GB"," 1 GB ","Android OS, v4.0 (customized)",NA,"1.3 MP","No","No","HSPA, LTE",NA,"TI OMAP 4470","Geo-tagging",NA,NA,"PowerVR SGX544","Yes, up to 10 fingers",NA,NA,NA,NA,NA,NA,"GSM 850 / 900 / 1800 / 1900 ","Yes"," HSDPA"," LTE","- Dolby Digital Plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Amazon Kindle Fire HD (2013)","Amazon","No cellular connectivity","No","No","2013, September","Available. Released 2013, September","191 x 128 x 10.6 mm (7.52 x 5.04 x 0.42 in)","345 g (12.17 oz)","No","IPS LCD capacitive touchscreen, 16M colors","7.0 inches (~58.1% screen-to-body ratio)","800 x 1280 pixels (~216 ppi pixel density)",NA,"No","Vibration; MP3, WAV ringtones","Yes, with stereo speakers","Wi-Fi 802.11 a/b/g/n, dual-band","Yes","No","No","microUSB v2.0","Email, Push Email, IM","HTML5 (Amazon Silk)","No","- MP4/VP8/H.263 player
  - MP3/WAV/AAC/OGG/E-AC-3 player
  - Document viewer
  - Photo viewer/editor
  - Free cloud storage for all Amazon content
  - Text-to-Speech English-language content reader","Non-removable Li-Ion battery",NA,"Up to 10 h","Black",NA,NA,"Accelerometer, gyro","Dual-core 1.5 GHz","8/16 GB"," 1 GB ","Android OS (Jelly Bean - customized)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, up to 10 fingers",NA,NA,NA,NA,NA,NA," N/A","Yes",NA,NA,"- Dolby Digital Plus","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
